model,horizon,seed,epochs,best_epoch,device,mse,mae,checkpoint,figure,loss_curve
lstm,90,11,12,2,cuda,167250.203125,310.670654296875,/home/icc/exam/exam/outputs/models/lstm_h90_seed11.pt,/home/icc/exam/exam/outputs/figures/lstm_h90_seed11.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h90_seed11.png
lstm,90,22,12,2,cuda,168144.25,311.2011413574219,/home/icc/exam/exam/outputs/models/lstm_h90_seed22.pt,/home/icc/exam/exam/outputs/figures/lstm_h90_seed22.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h90_seed22.png
lstm,90,33,13,3,cuda,162787.0,305.8574523925781,/home/icc/exam/exam/outputs/models/lstm_h90_seed33.pt,/home/icc/exam/exam/outputs/figures/lstm_h90_seed33.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h90_seed33.png
lstm,90,44,12,2,cuda,167184.796875,311.4818420410156,/home/icc/exam/exam/outputs/models/lstm_h90_seed44.pt,/home/icc/exam/exam/outputs/figures/lstm_h90_seed44.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h90_seed44.png
lstm,90,55,12,2,cuda,162637.96875,304.7349548339844,/home/icc/exam/exam/outputs/models/lstm_h90_seed55.pt,/home/icc/exam/exam/outputs/figures/lstm_h90_seed55.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h90_seed55.png
lstm,365,11,19,9,cuda,164705.71875,308.2928466796875,/home/icc/exam/exam/outputs/models/lstm_h365_seed11.pt,/home/icc/exam/exam/outputs/figures/lstm_h365_seed11.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h365_seed11.png
lstm,365,22,24,14,cuda,161449.140625,305.81072998046875,/home/icc/exam/exam/outputs/models/lstm_h365_seed22.pt,/home/icc/exam/exam/outputs/figures/lstm_h365_seed22.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h365_seed22.png
lstm,365,33,16,6,cuda,162645.640625,303.8758850097656,/home/icc/exam/exam/outputs/models/lstm_h365_seed33.pt,/home/icc/exam/exam/outputs/figures/lstm_h365_seed33.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h365_seed33.png
lstm,365,44,16,6,cuda,162263.265625,303.9395446777344,/home/icc/exam/exam/outputs/models/lstm_h365_seed44.pt,/home/icc/exam/exam/outputs/figures/lstm_h365_seed44.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h365_seed44.png
lstm,365,55,15,5,cuda,166732.65625,308.199462890625,/home/icc/exam/exam/outputs/models/lstm_h365_seed55.pt,/home/icc/exam/exam/outputs/figures/lstm_h365_seed55.png,/home/icc/exam/exam/outputs/figures/loss_lstm_h365_seed55.png
transformer,90,11,11,1,cuda,165010.375,305.3755187988281,/home/icc/exam/exam/outputs/models/transformer_h90_seed11.pt,/home/icc/exam/exam/outputs/figures/transformer_h90_seed11.png,/home/icc/exam/exam/outputs/figures/loss_transformer_h90_seed11.png
transformer,90,22,12,2,cuda,174347.59375,323.15185546875,/home/icc/exam/exam/outputs/models/transformer_h90_seed22.pt,/home/icc/exam/exam/outputs/figures/transformer_h90_seed22.png,/home/icc/exam/exam/outputs/figures/loss_transformer_h90_seed22.png
